Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Robbie Grossman","DET",156,671,23,88,67,20,0.14605067,0.230998509,0.175942549,0.285714285,0.238779174,0.357249626,0.414721723,0.33744881783161795,0.334,114.17955779016063,2.715367802651599,14.364330747420077,-11.941239833831787,2.54787975000123,"Robbie Grossman",5254,543257
"Trent Grisham","SDP",132,527,15,61,62,13,0.102466793,0.225806451,0.170995671,0.292168674,0.242424242,0.326996197,0.413419913,0.3203937481832868,0.309,104.2208321485086,2.7711703339591622,5.602927060924793,1.9989598542451859,2.5351254473277876,"Trent Grisham",18564,663757
"Eduardo Escobar","- - -",146,599,28,77,90,1,0.080133555,0.207011686,0.218579235,0.278894472,0.253187613,0.313856427,0.471766848,0.334217824764475,0.328,107.93560330532036,-1.0610609501600266,4.990313342310884,-0.35780954360961914,2.4795798077521707,"Eduardo Escobar",6153,500871
"Ryan McMahon","COL",151,596,23,80,86,6,0.098993288,0.246644295,0.195075758,0.305785123,0.253787878,0.330536912,0.448863636,0.333893070116589,0.325,93.49536230069532,-1.3206277589779347,-6.255962515205361,10.761960506439209,2.456802308360383,"Ryan McMahon",15112,641857
"Dylan Carlson","STL",149,619,18,79,65,2,0.092084006,0.24555735,0.171586716,0.331578947,0.265682656,0.343042071,0.437269372,0.33581167691713804,0.322,111.45543971152256,-0.03454500366933644,8.992584168526198,-5.856598377227783,2.396796604790827,"Dylan Carlson",20126,666185
"Jared Walsh","LAA",144,585,29,70,98,2,0.082051282,0.259829059,0.232075472,0.335227272,0.27735849,0.34017094,0.509433962,0.357296056389191,0.326,126.00826978569862,-1.5068370329681784,17.121298291477952,-13.577345371246338,2.3648621555402656,"Jared Walsh",18607,665120
"C.J. Cron","COL",142,547,28,70,92,1,0.109689213,0.213893967,0.248936171,0.316109422,0.280851063,0.37477148,0.529787234,0.3829898721374133,0.364,125.40412691581508,-2.6572963329963386,15.033152184678045,-10.144559383392334,2.330329644099132,"C.J. Cron",12546,543068
"Josh Harrison","- - -",138,558,8,58,60,9,0.055555555,0.134408602,0.12079208,0.312941176,0.27920792,0.341113105,0.4,0.3245024422126784,0.333,104.21046316325989,-2.2987730770837516,0.8859933398154141,3.480241894721985,2.3290829144886764,"Josh Harrison",8202,543281
"Luis Urías","MIL",150,570,23,77,75,5,0.110526315,0.203508771,0.195918368,0.279661016,0.248979591,0.344522968,0.444897959,0.34041283450372267,0.333,111.9668099198119,0.5188470224384218,9.202460666753352,-5.168028831481934,2.3220510824964125,"Luis Urias",16622,649966
"Avisaíl García","MIL",135,515,29,68,86,8,0.073786407,0.234951456,0.227765726,0.29113924,0.262472885,0.330097087,0.490238611,0.345797400264179,0.366,115.4663217888774,-1.0828935927711427,9.057189520997229,-3.497677445411682,2.2899573171036502,"Avisail Garcia",5760,541645
"Adam Duvall","- - -",146,555,38,67,113,5,0.063063063,0.313513513,0.263157895,0.259868421,0.228070175,0.281081081,0.49122807,0.3242618534108792,0.33,100.90511550670323,-1.6072243978269398,-0.9677189736245881,5.182347774505615,2.289659936752931,"Adam Duvall",10950,594807
"Mike Yastrzemski","SFG",139,532,25,75,71,4,0.095864661,0.246240601,0.232905983,0.253968253,0.224358974,0.310734463,0.457264957,0.32583450524585295,0.318,106.33824798264672,1.6163537034299225,5.909029632089274,-1.1855602264404297,2.2633113923691863,"Mike Yastrzemski",14854,573262
"Kyle Seager","SEA",159,670,35,73,101,3,0.088059701,0.240298507,0.225538972,0.226277372,0.212271973,0.285074626,0.437810945,0.307634636938215,0.319,98.47770456403947,-4.518223359249532,-5.766974231710011,5.274050712585449,2.2520404735591852,"Kyle Seager",9785,572122
"Josh Bell","WSN",144,568,27,75,88,0,0.114436619,0.177816901,0.214859438,0.27613941,0.261044176,0.346830985,0.475903614,0.35182300389023635,0.367,119.2290945758828,-3.9123154988046736,9.992153722674779,-7.2505881786346436,2.185680455137707,"Josh Bell",13145,605137
"Mitch Haniger","SEA",157,691,39,110,100,1,0.078147612,0.244573082,0.232258064,0.28095238,0.253225806,0.31837916,0.48548387,0.3398648047135773,0.35,120.25803875095716,-2.193592852447182,14.945092337805505,-16.8255877494812,2.1850368538875085,"Mitch Haniger",14274,571745
"Anthony Rizzo","- - -",141,576,22,73,61,6,0.090277777,0.151041666,0.191532259,0.257653061,0.24798387,0.34375,0.439516129,0.3388930982828971,0.347,113.9422550051265,-1.7546188877895474,8.327204412799912,-6.083104848861694,2.1769086441516934,"Anthony Rizzo",3473,519203
"Trevor Story","COL",142,595,24,88,75,20,0.08907563,0.233613445,0.220532319,0.29347826,0.25095057,0.329411764,0.471482889,0.34078573255876665,0.335,97.97500933240296,1.9260729767847806,0.3922076308223428,1.3217425346374512,2.1734648192698347,"Trevor Story",12564,596115
"Jonathan Schoop","DET",156,674,22,85,84,2,0.054896142,0.197329376,0.157303371,0.31722689,0.277688603,0.320474777,0.434991974,0.3239948507232553,0.311,105.0877062738325,-0.4758577204775065,3.7225439255530386,-5.220635890960693,2.164987007478694,"Jonathan Schoop",11265,570731
"Michael A. Taylor","KCR",142,528,12,58,54,14,0.0625,0.272727272,0.111801242,0.319277108,0.244306418,0.296577946,0.35610766,0.28552239226751003,0.3,75.30456163006957,-0.6337137368973345,-16.598118078583695,20.00287938117981,2.1551080964590295,"Michael A. Taylor",11489,572191
"Michael Brantley","HOU",121,508,8,68,47,1,0.064960629,0.104330708,0.125799574,0.337408312,0.311300639,0.362204724,0.437100213,0.34652522623656534,0.361,121.42551919590257,-0.8269092997070402,12.499008307410087,-8.667707204818726,2.1291789535874472,"Michael Brantley",4106,488726
"Kyle Farmer","CIN",147,529,16,60,63,2,0.041587901,0.183364839,0.15320911,0.296,0.262939958,0.316287878,0.416149068,0.31604387717183674,0.302,91.40840268893484,-0.3147602821700275,-6.100738966509979,9.484909534454346,2.1189206969119367,"Kyle Farmer",14813,571657
"DJ LeMahieu","NYY",150,679,10,84,57,4,0.107511045,0.13843888,0.093802345,0.301204819,0.2680067,0.349042709,0.361809045,0.31508744669805777,0.34,101.35581577160484,-2.331756280735135,-1.2046301652580342,-1.285338506102562,2.0827014024286643,"DJ LeMahieu",9874,518934
"Nathaniel Lowe","TEX",157,642,18,75,72,8,0.124610591,0.252336448,0.150807899,0.339473684,0.263913824,0.356697819,0.414721723,0.33700341526418925,0.323,113.89869642660904,1.571893157903105,12.496634265712467,-14.186506271362305,2.035835319548271,"Nathaniel Lowe",19566,663993
"Jonathan Villar","NYM",142,505,18,63,42,14,0.091089108,0.261386138,0.167400881,0.3125,0.248898678,0.322067594,0.416299559,0.3196275531650779,0.307,103.08441889751062,-0.11025749007239938,1.8726934856290232,0.7495063543319702,1.9617771230952195,"Jonathan Villar",10071,542340
"Miguel Rojas","MIA",132,539,9,66,48,13,0.06864564,0.13729128,0.127272727,0.295399515,0.264646464,0.321561338,0.391919191,0.3112473924363856,0.292,92.79642762502209,2.9134650595951825,-2.0294589406663865,3.1618916988372803,1.9267672933228144,"Miguel Rojas",7802,500743
"Nelson Cruz","- - -",140,584,32,79,86,3,0.087328767,0.215753424,0.231968811,0.285714285,0.265107212,0.334482758,0.497076023,0.3462238475941775,0.363,123.01302908286998,-3.3924956028349698,13.062155952085497,-14.337957598268986,1.8781247486131147,"Nelson Cruz",2434,443558
"Alex Verdugo","BOS",146,604,13,88,63,6,0.084437086,0.158940397,0.137867647,0.327272727,0.288602941,0.350993377,0.426470588,0.3338870364288024,0.342,106.04207391580589,-0.2781855908688158,4.189936474715882,-6.371153116226196,1.856034533219287,"Alex Verdugo",17027,657077
"Austin Hays","BAL",131,529,22,73,71,4,0.052930056,0.202268431,0.204918033,0.286111111,0.25614754,0.30798479,0.461065573,0.32839282723887336,0.316,106.33603210702611,-0.8519952329806983,3.2516999832477413,-2.9599077701568604,1.846389186233698,"Austin Hays",19363,669720
"Jazz Chisholm Jr.","MIA",124,507,18,70,53,23,0.067061143,0.285996055,0.176724138,0.319078947,0.247844827,0.302970297,0.424568965,0.31247388218889144,0.307,93.59354212545261,4.963758748257533,0.8287809881098047,0.32375669479370117,1.8211343562126245,"Jazz Chisholm Jr.",20454,665862
"Lourdes Gurriel Jr.","TOR",141,541,21,62,84,1,0.059149722,0.188539741,0.19,0.305483028,0.276,0.318518518,0.466,0.3328457169497389,0.339,107.44854459159406,-2.93492223136127,1.9987551129463874,-2.5243592262268066,1.8056448488064039,"Lourdes Gurriel Jr.",19238,666971
"Josh Rojas","ARI",139,550,11,69,44,9,0.105454545,0.249090909,0.146694215,0.345132743,0.264462809,0.341284403,0.411157024,0.3272402735755724,0.295,103.4066325747101,1.026373301865533,3.4116305723992664,-3.956156611442566,1.7956140630675559,"Josh Rojas",19734,668942
"Jose Iglesias","- - -",137,511,9,65,48,5,0.04109589,0.146771037,0.120082815,0.305,0.271221532,0.309197651,0.391304347,0.30397038742054233,0.297,89.45274237381709,0.42843748070299625,-6.170325220835606,6.448545753955841,1.7831977839584656,"Jose Iglesias",10231,578428
"Yandy Díaz","TBR",134,541,13,62,64,1,0.127541589,0.157116451,0.131182796,0.285714285,0.255913978,0.353049907,0.387096774,0.3246419487496772,0.332,110.25768182609563,-2.442189974943176,4.352169890692502,-5.799908638000488,1.7131775132835179,"Yandy Diaz",16578,650490
"Elvis Andrus","OAK",146,541,3,60,37,12,0.057301293,0.149722735,0.076458753,0.282973621,0.243460764,0.293680297,0.319919517,0.26974269603170564,0.308,73.21862246690046,4.978431657422334,-12.760694954441878,10.595948219299316,1.641279315626507,"Elvis Andrus",8709,462101
"Isiah Kiner-Falefa","TEX",158,677,8,74,53,20,0.041358936,0.132939438,0.086614173,0.304267161,0.270866141,0.312130177,0.357480314,0.2926923720171614,0.292,83.95441140712525,3.2884270816575736,-10.011411746721075,2.995177984237671,1.621958715714943,"Isiah Kiner-Falefa",16512,643396
"David Peralta","ARI",150,538,8,57,63,2,0.085501858,0.171003717,0.143737166,0.303341902,0.258726899,0.32527881,0.402464065,0.3141671168469937,0.293,94.91018751802692,1.3291545365937054,-2.15687692253066,-0.05410909652709961,1.5881409116081535,"David Peralta",2136,444482
"Austin Meadows","TBR",142,591,27,79,106,4,0.099830795,0.20642978,0.223938224,0.24933687,0.233590733,0.314720812,0.457528957,0.3273075488554377,0.326,112.05902712211756,-1.8415672769770026,6.8841635060503705,-12.274534702301025,1.489580208497507,"Austin Meadows",15672,640457
"Ian Happ","CHC",148,535,25,63,66,9,0.11588785,0.291588785,0.208602151,0.280701754,0.225806451,0.322701688,0.434408602,0.32818804247965283,0.317,105.17372833899203,0.7096463297493756,4.233392745096001,-7.548203945159912,1.467362409877567,"Ian Happ",17919,664023
"César Hernández","- - -",149,637,21,84,62,1,0.092621664,0.211930926,0.154385965,0.26618705,0.231578947,0.307692307,0.385964912,0.30195558868993927,0.311,91.43070733877687,-0.44382197177037597,-7.1270528462614475,-0.07487326860427856,1.4659372512911373,"Cesar Hernandez",10556,514917
"Andrew Benintendi","KCR",134,538,17,63,73,8,0.066914498,0.180297397,0.166328601,0.309090909,0.275862068,0.324022346,0.442190669,0.3281785274129118,0.331,104.13050150927123,-2.506628878414631,0.2141115970442149,-4.407654285430908,1.4275360911950403,"Andrew Benintendi",17901,643217
"Andrew McCutchen","PHI",144,574,27,78,80,6,0.141114982,0.229965156,0.221991701,0.242424242,0.221991701,0.334494773,0.443983402,0.3346588768950709,0.344,107.93689283349292,2.043719125445932,7.843474188203695,-12.864214897155762,1.4274969766242276,"Andrew McCutchen",9847,457705
"Gleyber Torres","NYY",127,516,9,50,51,14,0.096899224,0.201550387,0.106753812,0.314285714,0.259259259,0.330739299,0.366013071,0.30672086319263453,0.331,95.7018897349501,0.485730720218271,-2.229641127912012,-1.7244243621826172,1.3759791327847326,"Gleyber Torres",16997,650402
"Jesús Aguilar","MIA",131,510,22,49,93,0,0.090196078,0.182352941,0.198218263,0.278592375,0.260579064,0.328712871,0.458797327,0.3337548006318524,0.334,107.42433740010178,-1.782651921035722,3.0376597561516263,-7.098598599433899,1.3084434761384336,"Jesus Aguilar",11342,542583
"Nick Solak","TEX",127,511,11,57,49,7,0.066536203,0.209393346,0.120087336,0.29239766,0.242358078,0.314341846,0.362445414,0.29907480286240345,0.299,88.26749713795809,-0.21454561525024474,-7.554842498635999,1.6985560357570648,1.168058198333066,"Nick Solak",19294,669256
"Tommy Pham","SDP",155,561,15,74,49,14,0.139037433,0.228163992,0.15368421,0.279761904,0.229473684,0.340463458,0.383157894,0.31823563768017676,0.35,102.81824303429406,0.1857396245468408,2.1984836558041874,-11.318334102630615,0.9727250884492373,"Tommy Pham",2967,502054
"Trey Mancini","BAL",147,616,21,77,71,0,0.082792207,0.232142857,0.176258993,0.30788804,0.255395683,0.326298701,0.431654676,0.3258875085442674,0.341,104.6430009446205,-2.5050712707452476,0.9966497306458608,-12.64356915652752,0.9480785919246921,"Trey Mancini",15149,641820
"Jed Lowrie","OAK",139,512,14,55,69,0,0.095703125,0.2109375,0.153172866,0.289085545,0.245076586,0.318359375,0.398249452,0.31122797482634246,0.343,101.25332716599766,-1.779718128964305,-0.9940548217748706,-7.7818639278411865,0.8787261957791213,"Jed Lowrie",4418,476704
